	time	id	like	sentiment	topic	text
133	Mon Nov 29 23:56:00 +0000 2021	1465469625139879940	1	/	CR	All city employees of Langley will soon need to follow a new vaccination rule that has been set in response to the pandemic.  https://t.co/YQvvfKAzJj
134	Mon Nov 29 23:58:22 +0000 2021	1465470222853419010	1	-	CY	@sailormaecos Geez! COVID hit them hard. Look at what's happening at 1 of my local #PartyCity stores. https://t.co/UO8uHtYWkP
135	Mon Nov 29 23:55:32 +0000 2021	1465469508148203523	0	+	CV	Day 14. FAILURE. Still had enough time to work out because I worked from home to get my covid booster.
136	Mon Nov 29 23:56:09 +0000 2021	1465469662825693190	0	-	CY	"FOIs reveal that health/science institutions around the world (138 and counting!) have no record of SARS-COV-2  isolation/purification, anywhere, ever https://t.co/nbC9v2aRwG"
138	Mon Nov 29 23:57:37 +0000 2021	1465470033044258817	1	-	CS	Growth in 7D US Confirmed Covid Cases by County For WI   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/zPRzSEBrAm
139	Mon Nov 29 23:57:56 +0000 2021	1465470112648110089	0	+	CY	@kristina_wong I haven't met a Catholic priest who objects to vaccination.
140	Mon Nov 29 23:57:25 +0000 2021	1465469983329337346	0	+	CS	@RealCandaceO still better than getting Coronavirus.
141	Mon Nov 29 23:56:10 +0000 2021	1465469667796004870	0	-	CL	@POTUS @POTUS what happened with you killing the virous after taking over the precedency...We've had more people die of COVID in your Admin than the entire COVID period of the previous Admin.
142	Mon Nov 29 23:58:39 +0000 2021	1465470292730564618	1	-	CV	"@Itsal_withanL I got it and still got Covid. I honestly wouldn’t waste my time, unless you are one of the people at risk of dying from it."
143	Mon Nov 29 23:57:53 +0000 2021	1465470098374860800	0	-	CP	@GOP Sitting @HouseGOP member equating COVID vaccines with human experimentation: https://t.co/tVcHWzPKlZ
144	Mon Nov 29 23:54:58 +0000 2021	1465469367576104963	2	-	CL	@lesleyabravanel @GovRonDeSantis Of course he did.  All the more Covid to profit from.
145	Mon Nov 29 23:55:34 +0000 2021	1465469515991592967	0	/	CP	@perfumecrawf HELLO IM SORRY I WAS BUSY WITH MY MISSING WORK FROM COVID AND FINALS RIGHT AFTER 💔💔
146	Mon Nov 29 23:57:29 +0000 2021	1465470000538402817	0	-	CP	hopefully covid kills me I’m tired of paying bills
148	Mon Nov 29 23:56:04 +0000 2021	1465469644198891522	12	/	CY	ILAE has been invited to attend the Special Session of the World Health Assembly taking place 29 Nov – 1 Dec 2021 focusing on COVID-19 only.  ILAE’s full statement - https://t.co/skwa2AH4dH.  Watch live - https://t.co/uI8yRMH76y. @WHO #epilepsyawareness #advocate4epilepsy https://t.co/YyCewLnkfl
149	Mon Nov 29 23:54:50 +0000 2021	1465469330917928976	2	-	CY	The worst thing about covid is the dementors
151	Mon Nov 29 23:57:52 +0000 2021	1465470096504242177	3	-	CL	Distribution of COVID relief checks.  Infrastructure investments.  Afghanistan withdrawal.    These were cornerstones in what amounted to any Trump “agenda”. Funny how the media amplifies MAGA “Brandon” bullshit without first noting the hypocrisy.
152	Mon Nov 29 23:59:26 +0000 2021	1465470490277859328	2	-	PL	"@funkadelicatesn I wish!!! Alas, with COVID and my lack of funds it’s not meant to be 😭😭😭"
153	Mon Nov 29 23:58:58 +0000 2021	1465470370626998274	1	-	CY	The dmv got worse idk what to tell ya. You used to be able to go for an emergency but ever since covid it’s strict appointment only
154	Mon Nov 29 23:55:10 +0000 2021	1465469417744125954	15	/	CS	Alberta reports 806 new COVID-19 cases and 7 more deaths over 3 days. Earlier tweet had an incorrect case count and has been deleted. https://t.co/7480s9IuFl
155	Mon Nov 29 23:54:59 +0000 2021	1465469371371950086	0	/	CY	@JohnJHendrix I’m glad Taysom is quarterback this week but I worry about timing issues. The only good/bad thing is COVID has taken out the head coach and some players for the Cowboys. I hope COVID isn’t to bad for them though!!!
156	Mon Nov 29 23:55:25 +0000 2021	1465469479601778689	2	+	CL	China's Xi pledges another 1 bln COVID-19 vaccine doses for Africa https://t.co/SFGwLUtTc0
157	Mon Nov 29 23:59:43 +0000 2021	1465470562353004547	0	+	CV	@JCiparelli My first 2 I had mild side effects and real tired.  But the booster was fine.  I have Moderna for all three. Good luck
158	Mon Nov 29 23:54:49 +0000 2021	1465469329479282693	0	/	CS	@CTHECLIFFS @BBCBreakfast Oh come on - 2 Chinese in York started Covid. Are you bonkers? Covid was all over the world by the end of 2019. It wasn’t started by the those 2 students.
160	Mon Nov 29 23:56:05 +0000 2021	1465469646728048803	0	+	CR	@ColinDMello Not to worry.  @JustinTrudeau is banning all flights from AFRICA.  Also @fordnation is not easing anything.  It’s time to get vigilant.  booster time for 🇨🇦 👍 ~ @pfizer
161	Mon Nov 29 23:56:50 +0000 2021	1465469834309865473	0	-	PL	@pulte anything well help I’m soo behind on rent due to me having COVID 🥺🙏🏾🙏🏾 https://t.co/E4sSO2Hh9A
162	Mon Nov 29 23:55:36 +0000 2021	1465469525139329027	0	-	CL	"@RayDlucasSilva @___venice___ @FrancoisOuell15 @pewglobal In general opinion has shifted against China globally in the last few years. COVID, China's actions in HK, and it's action in the SCS have all played a role, along with China's ""wolf warrior"" diplomacy. Even in Pakistan there have terrorist attacks against Chinese workers."
163	Mon Nov 29 23:55:44 +0000 2021	1465469560337874951	1	/	CV	"@joe43932 How is saying ""your body your choice"" telling people there aren't covid risks? I've literally never said that. I've promoted personal choice and have not encouraged not getting vaxxed. On the contrary, I've literally tweeted before, ""If you're at risk you may want to get the vax"""
164	Mon Nov 29 23:56:56 +0000 2021	1465469859559460867	0	+	CV	"@bellememorie I think I’m going to stick with Pfizer, but I have a couple of months to do some research. I got Covid about 6 months ago. Nasty disease. I almost didn’t make it."
165	Mon Nov 29 23:58:17 +0000 2021	1465470199474401285	10	-	CV	"@Matipaalfred1 @AdvoBarryRoux There's no evidence vaccines save lives. In many countries with very high vaccination, infections are rising exponentially. Like Isreal, the UK, Singapore ect."
166	Mon Nov 29 23:57:45 +0000 2021	1465470067999657984	0	/	CV	All vaccinated adults should get their COVID booster to protect against the new Omicron variant. https://t.co/tN1sWhhqs5
168	Mon Nov 29 23:56:14 +0000 2021	1465469683965046785	0	-	CR	Some Hospitals Prepare to Lose Staff Over Covid-19 Vaccination Mandate https://t.co/sw6TsFcvwR
169	Mon Nov 29 23:56:53 +0000 2021	1465469849774219265	15	-	CT	"@nytimes So they know they have Covid, but don't know they have Omicron? I don't even understand why the clinics or MD's wouldn't have patient phone numbers in the first place. It's an overreach."
170	Mon Nov 29 23:54:46 +0000 2021	1465469316187537410	2	-	PL	"YALL I WAS FREAKING OUT CUZ I THOUGHT I LOST MY TASTE, I WAS BOUTTA BE SO ANGRY (yes I have covid)"
172	Mon Nov 29 23:58:39 +0000 2021	1465470290725584900	1	+	CY	".@UNDP  @PNUDLAC Director Luis Felipe Lopez-Calva launches new @UNDP-@WorldBank regional study on #COVID-19 impact with @LFLopezCalva @CF_Jaramillo @MelendezMarcela, Ximena del Carpio. @PNUDLAC @BancoMundial phone survey is focus: https://t.co/zLn7BSLliq https://t.co/vUGkPhN4oQ"
173	Mon Nov 29 23:56:28 +0000 2021	1465469743104679939	7	+	CV	"Was feeling kind of rough today. Sore, tired, runny nose. Did a COVID-19 test. Thankfully it's negative so I'm probably just exhausted from the past few weeks.  TY @CueHealth for making this possible from home.♥️  I'm 3x💉 Pfizer and I wear a mask. Please get the 💉 or a booster! https://t.co/mhTHo0pbrA"
174	Mon Nov 29 23:59:16 +0000 2021	1465470445789007877	0	-	CS	"@UMNseismology @IRIS_EPO stand corrected. should have said, ""reflected in"". and there is the whole, where there are not sensors what is the covid rate (no direct correlation, of course, but scientific curiosity in having the sensors might anticipate...). would have thought texas was closer, without a map"
175	Mon Nov 29 23:56:50 +0000 2021	1465469836138479621	0	-	CS	@goingtogetugly @MrCastator @gross_lemming @JosephShea Is that the flu is less deadly than covid. And covid is more deadly than the flu. CO it is also more contagious than the flu.
176	Mon Nov 29 23:57:46 +0000 2021	1465470070168207367	0	-	CV	@AnnaNJNY Unvaxed  are stressing the medical teams and prevent others from needed medical help. Omicron might remove the Unvaxed from the planet since our politicians are too scared to crack down on them. #Covid_19 #Unvaccinated  #COVIDIOTS #covidvariant Omicron might fix the GOP nutcases
177	Mon Nov 29 23:58:06 +0000 2021	1465470152724516869	5	/	CT	"I remain mystified by those taking seriously anything people say about this Botswanan variant. But news in the markets along w/ housing news, Fed news, policy news, economic news, and yes COVID news (and non-news) make this a DC Today not to be missed.  https://t.co/5xZafO2MgM"
180	Mon Nov 29 23:54:53 +0000 2021	1465469344926904322	0	/	CS	Covid 19 around the World: https://t.co/BrIuwfH5st?
181	Mon Nov 29 23:57:29 +0000 2021	1465469998365822981	1	/	CV	"@justashleylove1 The only reason that New Yorkers have such a high vaccination rate compared to the rest of the company is they are simply more intelligent than everybody else. I mean, how can you compare them with, oh I better not say… Freaking hillbillies everywhere."
182	Mon Nov 29 23:54:58 +0000 2021	1465469366326104068	0	+	PL	"What I'm trying to say is we have, for the most part, a very kind and accepting fanbase. It's honestly lovely. The concert was amazing. ""Fake Love"" was one highlight, and I was exhausted by the end as I am old and still have long Covid but IT WAS WORTH IT. 6/"
183	Mon Nov 29 23:54:59 +0000 2021	1465469371573149699	1	-	CY	Scientific censorship started long before Covid leaked from a lab in Wuhan. @MaryanneDemasi recounts how @ABCTV censored her reports on the overprescription of statins (cholesterol-reducing drugs) and the dirty tricks Big Pharma used. https://t.co/xTRHBSdKCI via @MaryanneDemasi
185	Mon Nov 29 23:54:44 +0000 2021	1465469307807141896	0	-	CY	Having to wait in a long ass line in the sun to get covid tested is making me wanna cry
186	Mon Nov 29 23:56:47 +0000 2021	1465469823677353986	0	-	CY	"with all these talks of new covid variants and moderna stocks skyrocketing, you really should invest in ligma before it takes off."
187	Mon Nov 29 23:59:53 +0000 2021	1465470603536703493	0	-	CV	@hormonedietdoc @pfizer @Moderna @cdc @NIH @WHO @RWMaloneMD We'll that's an unfollow but keep pushing your supplements.
188	Mon Nov 29 23:59:56 +0000 2021	1465470614941089797	0	-	CS	13 members of Lisbon-based Belenenses SAD soccer club test positive for the #OmicronVariant of Covid-19 https://t.co/Wk4elzyxnB #UAE #Dubai #DXB
189	Mon Nov 29 23:57:35 +0000 2021	1465470022831075333	1	/	CV	CDC Says All 18-Plus ‘Should’ Get COVID-19 Boosters Due To Omicron https://t.co/gpFpWw3QwO
191	Mon Nov 29 23:55:04 +0000 2021	1465469391802351616	0	-	CS	"@hartfordcourant As of November 28, 2021, 23,618 cases of COVID-19 among fully vaccinated persons in Connecticut have been identified. Of the 2,427,567 persons who are fully vaccinated, 0.97 percent have contracted the virus.  Pandemic of the unvaccinated!  Vaccines work."
192	Mon Nov 29 23:55:52 +0000 2021	1465469593640652805	4	-	CY	I don’t want to get too political but covid sucks
193	Mon Nov 29 23:56:52 +0000 2021	1465469843973591048	1	+	CV	"@mermalermalerm @HijaDe2Madre 😂  I mean that's way more effective though!  I had to move a vaccine appointment because I was offered the covid vaccine 6 days before I was set to get the other vaccine, and they were like ""oh yeah you need to reschedule"" so I assume it's just a Norwegian health care thing."
194	Mon Nov 29 23:56:01 +0000 2021	1465469630185574408	0	/	PL	the froyo place has apparently adapted to covid by replacing the topping bins with like... bins of little individually packaged servings of topping. which is clever but i would feel way stupider about my choices
195	Mon Nov 29 23:59:55 +0000 2021	1465470609215922181	4	/	CL	"Omicron variant forces Gov. Parson to postpone trip to Israel, Greece https://t.co/PqxDE4SivC"
196	Mon Nov 29 23:59:46 +0000 2021	1465470575170703370	0	/	CS	@ColoCoffeeLover @mosyapolitic @ChristinaPushaw Any one got a chart of murder/suicides/ overdoses increase per state? I feel like that's a relevant death stat to combine with covid. I'm sure Florida also out performed in that category. I just can't seem to find one. Maybe total excess mortality per state?
197	Mon Nov 29 23:54:55 +0000 2021	1465469351155408898	15	+	CR	.@TheJuanWilliams: Biden Is ‘Ripe For Criticism’ On Hypocrisy Over COVID Travel Ban https://t.co/uWQs16Jvv4
199	Mon Nov 29 23:54:35 +0000 2021	1465469270364770306	5	-	CV	Interesting if so. Very interesting.  Covid mutates as it needs to mutate perhaps?   Whether it was 2 vaccines + booster that was the driving force or 2 vaccines + infection - the point is vaccines + high infections don't work. https://t.co/Gr8r7sRxLt
200	Mon Nov 29 23:56:21 +0000 2021	1465469715447525390	0	/	CV	Pfizer expected to seek FDA authorization for boosters for those ages 16 and 17 - Nov 29 @ 6:53 PM ET https://t.co/GzxS3NGS8F
201	Mon Nov 29 23:59:24 +0000 2021	1465470479926546434	0	-	CT	WHO warns that new virus variant poses 'very high' risk | AP News https://t.co/8RUFT1gCcn
202	Mon Nov 29 23:58:52 +0000 2021	1465470345960378370	0	-	CR	@DannyDonnelly1 Not a chance of getting verification from the NI direct website in a few minutes which has to be done before applying for Covid passport
203	Mon Nov 29 23:57:34 +0000 2021	1465470021442826242	0	/	CP	Parents to be asked to reduce children’s activities to curb Covid-19 spread https://t.co/h0etG0AH0T
204	Mon Nov 29 23:54:42 +0000 2021	1465469298663645192	0	/	CV	How many people in your area are vaccinated against COVID? Here’s a ZIP by ZIP report https://t.co/RktZyqdsQO
205	Mon Nov 29 23:57:40 +0000 2021	1465470043400159234	0	-	CY	@FrankGrimes_Jr He is not a public health scientist. He is a nutritionist and medical school dropout that is capitalizing on covid hysteria. Stop circulating what he says.
207	Mon Nov 29 23:56:00 +0000 2021	1465469627438407685	2	-	CL	@KamalaHarris @JoeBiden Every time Holidays come around you all bring up some type of new variant along with spike  COVID  ..
208	Mon Nov 29 23:58:11 +0000 2021	1465470174992211969	0	+	CV	Covid Booster is booked!!! https://t.co/RwkRoNwmkh
209	Mon Nov 29 23:57:34 +0000 2021	1465470020163624966	0	-	CL	"@BorisJohnson you've managed to kill more british citizens that Hitler, you say you were hugging and shaking hands with Covid patients last year... god knows what you did to the poor aids victims in the 80's."
210	Mon Nov 29 23:58:09 +0000 2021	1465470167530586115	0	-	CS	"Cases and outbreaks are still surging in schools, as health officials say the latest statewide spike is being driven by the unvaccinated. https://t.co/zDrO92I2gR"
211	Mon Nov 29 23:56:51 +0000 2021	1465469841117270024	15	+	CV	"Well, got my Covid booster! https://t.co/YgVfplKsD4"
213	Mon Nov 29 23:59:01 +0000 2021	1465470383008927745	4	+	CV	"@POTUS @JoeBiden All we need is #covaxin, its time to have effective and long lasting vaccine and booster right now. #covaxin is knocking our door and we need to speed up to fight the #Omicron #NewVariants ."
214	Mon Nov 29 23:55:35 +0000 2021	1465469519829377024	0	/	CY	@champagne_patty @CP24 I must have missed the part where Covid went away in the summer…🙄🤦🏼‍♀️
215	Mon Nov 29 23:57:13 +0000 2021	1465469930841718784	1	+	CP	"@Kelvin90977380 @CP24 Absolutely I’m masked, Covid, blah blah out!"
217	Mon Nov 29 23:57:27 +0000 2021	1465469990136651785	0	/	CT	@Followe45624388 @Gab_H_R @FanCpixie We will need to see how this strain plays out. Hopefully boosters offers protection especially for vulnerable. But then again mild covid can lead to disaster too. Here there are many older vulnerable ppl who do not have that third vaccination.
218	Mon Nov 29 23:58:48 +0000 2021	1465470331108270084	3	+	PL	"my roommate just got over covid — she’s not sick or contagious anymore, just kinda lost her voice and she doesn’t have her sense of smell — and i keep teasing her about my ability to smell lolllll"
219	Mon Nov 29 23:59:13 +0000 2021	1465470433352896516	0	-	CL	"@GOP Sitting @HouseGOP member calling COVID vaccines ""experimental:"" https://t.co/nUEKnMiOQw"
220	Mon Nov 29 23:59:34 +0000 2021	1465470521785479173	1	-	CL	"@ASlavitt We elected a national leader to lead the country out of this pandemic after the last administration failed so miserably in the spirit of self-interest, saving face, and dumping stock shares.  Instead, the messaging and policies have been inconsistent. https://t.co/XpnfaxrkIi"
221	Mon Nov 29 23:57:18 +0000 2021	1465469953872650241	10	-	CT	"Another day, another COVID variant🥴"
222	Mon Nov 29 23:55:35 +0000 2021	1465469519778881541	14	-	CV	"What happened is that I tried to leave the vaccination site (at a school) and the security guard told me that I could not leave through that door, it was a special door for vaccines and I should use 'the same one as usual' to leave school. I didn't know what to say so I 1/x"
223	Mon Nov 29 23:57:21 +0000 2021	1465469963226038274	0	-	CT	Omicron: Are gov’ts prepared to deal with a new COVID variant? | Coronavirus pandemic | Al Jazeera https://t.co/0U5vHcZim3
224	Mon Nov 29 23:54:57 +0000 2021	1465469360902967301	0	+	CV	"C'River flags off Covid-19 mass vaccination, Maternal New Born and Child Health Week... Read full story at: https://t.co/IaYSYBwygB"
225	Mon Nov 29 23:56:08 +0000 2021	1465469659063275522	1	-	CL	"""The situation was normalised after over 100 police personnel arrived at the hospital and managed to disperse the mob.""  ""The two doctors had to escape in a bid to save themselves."" https://t.co/wfdzWw4lXM"
228	Mon Nov 29 23:55:14 +0000 2021	1465469431862210570	0	-	CY	@novogratz Generation biased much.  Every generation thinks they invented something or were the first since time began.  COVID-19 ruined the movies but I have faith the best is yet to come.  Be an optimist Allow the impossible Pass the torch to the next generation Be better
229	Mon Nov 29 23:54:46 +0000 2021	1465469314136518659	7	+	CV	". All dead following a recent vaccination against COVID.  Some for of CARDIAC ARREST seems to  be the main cause of death.  All of these people are young, previously healthy and active in sports.  Cardiac attack by he vaccine seems highly likely.  Think about it. https://t.co/GItYRW7k9z"
230	Mon Nov 29 23:59:54 +0000 2021	1465470606313496580	3	+	PL	@haiIeearchive @HaileeSteinfeld I know covid's still a thing but I just want her to throw a big ass party in that new house of hers and provide us with lots of pics
231	Mon Nov 29 23:57:00 +0000 2021	1465469878823841793	0	-	CV	@warriordad79 @MZHemingway Not at all. Forced to show paperwork to enter places forced to do shit i don’t wanna do. “Because vaccination works” and if you don’t have it you can’t do things freely. Vaccination doesn’t work. Coming from someone who has lost multiple friends and family who are fully vaxed
232	Mon Nov 29 23:59:53 +0000 2021	1465470600823017474	2	-	CP	"Dear Leftists,  Many of you will snort this NYT story about a vaccine into your brain like it's a fat rail at the Antifa clubhouse.  Coronavirus is not Smallpox.  Not even close.  P.S.: The Smallpox vaccine eradicated the virus. The shot you worship now is not capable of this. https://t.co/s7jYFNOjfx"
234	Mon Nov 29 23:58:15 +0000 2021	1465470190376734720	63	-	CL	"""The PM attended a sod turning event through a back entrance, avoiding protestors who are now yelling ""liar, liar pants on fire"" to Ardern"" https://t.co/6y179tBsGY"
235	Mon Nov 29 23:56:07 +0000 2021	1465469653640175624	0	/	PL	The #COVID-19 pandemic created unprecedented challenges. Read and share this customer story on ID Logistics' migration to #IBM #PowerSystems Virtual Server and how it frees teams to help customers when they need the support most. https://t.co/JW0kmlh7VK
236	Mon Nov 29 23:58:27 +0000 2021	1465470243539615748	0	-	CL	@TomiLahren I thought covid would end once Biden got into office…
238	Mon Nov 29 23:56:14 +0000 2021	1465469683528871947	0	/	CV	CDC expands COVID-19 booster recommendations https://t.co/KR2L3xBeLd
239	Mon Nov 29 23:58:45 +0000 2021	1465470317011165188	1	-	CY	"@livmoods @FDSportsbook @TheVolumeSports You're 100p right, just wanted to clarify in case you were told otherwise haha. But yeah if you miss shoot around you're likely not playing BUT illnesses are different, we've seen some players play through that. Unless it's COVID symptoms 😂"
240	Mon Nov 29 23:55:23 +0000 2021	1465469471452278786	3	+	CP	"@winny55 Hand washing is great for all sorts of other diseases.  Unfortunately it does next to nothing to prevent Covid transmission.  Covid is airborne. Open windows, improve ventilation, add filtration and masks."
241	Mon Nov 29 23:57:39 +0000 2021	1465470038895435776	0	/	CY	"@topgun1188 @overkoalafired @RMSolitayre @CharlieVergos @Nate_Cohn No idea what tangent you’re trying go off on now.  Original claim: Americans don’t distinguish between fault, they punish based on bad times and reward good times  My point: they didn’t punish Trump for COVID despite the COVID economy not being his fault   Stay on topic"
242	Mon Nov 29 23:58:54 +0000 2021	1465470353573126147	0	-	CT	Coronavirus: First case of Omicron variant discovered in Spain -  The Spanish government has confirmed the first case of the Omicron variant of the coronavirus in Spain.  A 51-year-old man in the... - https://t.co/vjQ7MJIrfA. #CoronavirusPandemic https://t.co/HPlvuAMdfH
243	Mon Nov 29 23:55:24 +0000 2021	1465469476221165575	36	+	CV	Toronto organizes mass COVID-19 vaccination clinic for children at Scotiabank Arena https://t.co/CW00naXkDV https://t.co/6pKVpf3pyU
244	Mon Nov 29 23:58:43 +0000 2021	1465470310543765515	5	/	CP	@gmakri01 @IOHK_Charles Can he issue an executive order to end covid too ? That’d be great
245	Mon Nov 29 23:54:57 +0000 2021	1465469360705728516	0	/	CR	"@SarahMcord @RadTours @notoorange45 @brandon_whis @MarkLevineNYC @JasonLaCanfora 1) That does not mean a mandate is effective. 2) ""greater"" needs to be evaluated in context.  I will ask the same question: Person ""A"" with 1-year old vaccine card, Person ""B"" with Covid 2-months ago. Is it reasonable for them to have different rights?"
246	Mon Nov 29 23:59:05 +0000 2021	1465470402101133319	0	-	CL	Scott Morrison wants everybody to get covid
247	Mon Nov 29 23:56:35 +0000 2021	1465469774196985862	0	/	CP	@FruityJuJuiice @NSWHealth The vaccine does not stop you getting COVID. Why do people not understand this. It prevents severe disease.
248	Mon Nov 29 23:57:07 +0000 2021	1465469905516449792	6	-	CY	"@BeingCharisBlog You said you HAVE to come in to see the doctor. No accomodations period. ""The doctor wants to actually see you""  COVID  ""In person appointments are limited, you ONLY come in if we absolutely need to see you. We offer various forms of telemedicine to *accommodate* the pandemic"" 🙃"
249	Mon Nov 29 23:59:27 +0000 2021	1465470493738233858	1	/	CY	"Cowboys Coach Mike McCarthy, several others will miss Thursday's game due to COVID-19  https://t.co/t6WxIR9ii9"
250	Mon Nov 29 23:56:45 +0000 2021	1465469813933936649	0	-	CY	OH NO I HOPE JOE BURROW DOESNT HAVE COVID WTF https://t.co/wIc5gqJvDq
251	Mon Nov 29 23:56:22 +0000 2021	1465469716009525255	0	-	CV	Brits scramble to book booster Covid vaccines – but are turned away by NHS site https://t.co/uzVCRY399S
252	Mon Nov 29 23:59:59 +0000 2021	1465470629365403657	4	-	CY	What #Fauci has done by financing the creation of the Covid-19 virus and by walking Big Pharma’s “vaccine” through the emergency use process is to create a Frankenstein virus capable of escaping immune responses.
253	Mon Nov 29 23:55:04 +0000 2021	1465469392129601537	2	+	CV	@BriannaWu Second Modera kicked my ass.  Third Moderna just a friendly punch in the arm.
254	Mon Nov 29 23:56:00 +0000 2021	1465469625462784003	3	-	CS	"20 hospitals also suspended outpatient and emergency medical services for three days, after the three locally-transmitted COVID cases emerged in Shanghai.  https://t.co/GKkoVEkaJ3"
255	Mon Nov 29 23:54:31 +0000 2021	1465469253377740803	0	+	CV	Over 6.5m persons received first dose of COVID-19 vaccine in Nigeria ― FG   https://t.co/9IV4aOFjTE
256	Mon Nov 29 23:56:20 +0000 2021	1465469710959529984	1	+	CP	@SequoiaCheyenne @gregminnick_ @RLCoates @GovRonDeSantis Yes I believe in the covid virus. Yes I believe in the vaccine. And yes I believe in the mask. Yes I believe in social distancing and yes I believe in our President Joe Biden. And you do not. End of story.
257	Mon Nov 29 23:55:24 +0000 2021	1465469473163395077	0	/	CV	@SammyEmilio B) the US (and other nations) has been pretty active in blocking access to the formula for the Covid vaccines thanks to patents.
259	Mon Nov 29 23:59:50 +0000 2021	1465470590081552391	1	-	PL	I have a relative that caught Covid-19 and she won’t come out of a coma. She is suffering a bleed in her brain. Her lungs have improved but she won’t wake up. Prayers or good vibes requested.
260	Mon Nov 29 23:59:33 +0000 2021	1465470519852081153	0	+	CV	"@crbarnes001 All my family, and most of my friends have had the third jab, not a problem among them. I have had 2 relations who have died of covid, 1 had no underlying health problems and was 49. A work colleague has long covid. Your point is?"
261	Mon Nov 29 23:56:42 +0000 2021	1465469799941558279	0	/	CT	Covid Qld: State border plans remain on track for reopening despite Omicron threat https://t.co/yIY65iK6Wl via @couriermail
262	Mon Nov 29 23:56:32 +0000 2021	1465469758330003461	1	-	CY	@Mikeropod It’s infuriating. I know a grandmother in the hospital on a ventilator fighting for her life from Covid yet people think it’s not serious.
263	Mon Nov 29 23:55:21 +0000 2021	1465469463160045575	0	-	CR	"If we just have to live with it, why are they forcing restrictions on us?  Just get back to living.  #DoNotComply   https://t.co/zw8O2j24xi"
264	Mon Nov 29 23:58:51 +0000 2021	1465470341816492034	1	-	CY	I did this but with a Covid test. Showed up with no damn appointment https://t.co/wvnqlgATiH
265	Mon Nov 29 23:59:51 +0000 2021	1465470593546039304	0	-	CY	BONOKOSKI: Fears of trucker vaccination cockup in supply-line management https://t.co/WbjPdz7QWq
266	Mon Nov 29 23:59:56 +0000 2021	1465470615922655232	0	/	CS	Covid in Scotland: Where are the latest cases? https://t.co/l0RQm970Bb
267	Mon Nov 29 23:56:59 +0000 2021	1465469874868670466	0	-	CP	"Donald Trump stopped travel from several countries into the USA for ""Covid""  The left lost their collective minds. Called it racist and every other ""ist"" known to man, media pushed it like it was their baby on a swing.  Where they at now? #AreYouAwakeYet?"
268	Mon Nov 29 23:55:59 +0000 2021	1465469620400242697	50	-	CY	"""Hospitalized with Covid"" is not what you think.   You go to the hospital for a bad knee.   They do a PCR test.   Even asymptomatic false positive.   Not why you are there at all.   Be careful with the reports you hear."
269	Mon Nov 29 23:59:06 +0000 2021	1465470404932292614	3	-	CY	"It’s kind of sad what a cesspool of misinformation, conspiracy theories and racist trolls twitter has become. Every post from the local news about Covid is flooded with replies from anti vax nutcases. Glad I don’t follow any idiots like that."
270	Mon Nov 29 23:57:17 +0000 2021	1465469947153371147	0	+	CP	@ChrisFinlay8 @HammondTheCoach @BBCPolitics I've shared my private taxi with over 15k people over 2 years. I wear a mask in my taxi at all times. Never had covid. I can't guarantee it's the mask that's helped but there's high probability it is. I'll stick with that.
271	Mon Nov 29 23:55:25 +0000 2021	1465469480587378695	1	-	PL	"@ValerieValHalla Right, but that's almost entirely covid hangover. Whole seasons had to get torn up and remade on the fly. That'll almost certainly fade out within the next year or two, at least as far as orchestras are concerned."
272	Mon Nov 29 23:59:28 +0000 2021	1465470497597001733	1	-	CR	"‘Access denied’: USC students are frustrated over COVID testing demand, experience delays in campus access after Thanksgiving break https://t.co/Qoubx4yiJ7"
273	Mon Nov 29 23:59:50 +0000 2021	1465470590182113286	2	-	CY	"@MichelleRNCHPN Thank you for the work you did. The 2nd person I know who died of Covid in spring 2020, was my dad’s best friend. I’m still haunted by his wife asking me was FaceTime was so she cld say goodbye to her husband of 60+ years. She still cries thinking he died alone in the hospital."
274	Mon Nov 29 23:59:26 +0000 2021	1465470490206781441	0	+	CR	"@10DowningStreet Are lessons not learnt from recent experience of covid, the world needs to go on full lockdown isolating every country till new viruses have yielded . Then we continue as normal within each country.Viruses rapidly increase instantly, as shown via government covid hour"
275	Mon Nov 29 23:59:08 +0000 2021	1465470414067539976	1	-	CV	"Anti-vaxx Chronicles: Long-haul COVID (or worse), blames everyone but herself https://t.co/4dJfoS3hhN"
276	Mon Nov 29 23:59:04 +0000 2021	1465470398737358850	0	-	CR	"@DHSCgovuk U isolate everyone in the household if 1 tests positive, honestly! Who makes ur ridiculous rules and what drugs r u all on? 🤯 Face masks in shops but not pubs, one kids has covid yet siblings can go to school to spread it until they test positive 🙈 how is any of that logical?"
277	Mon Nov 29 23:57:37 +0000 2021	1465470030754291712	0	/	CV	@lenoxhill Trying to book my booster shot at Einhorn auditorium. That’s where I got my Covid vaccine. It doesn’t look available on the website. Are you doing boosters?
278	Mon Nov 29 23:57:21 +0000 2021	1465469966786912268	3	-	CY	@AhmedBaba_ And @pfizer and @moderna_tx  aren't providing needed vaccines to poor countries so mutations will continue to occur
